iter	Logloss
0	0.6929214992
1	0.692698918
2	0.692455849
3	0.6922597992
4	0.6920361894
5	0.6918423256
6	0.6915896126
7	0.6913565304
8	0.6911491223
9	0.6909440287
10	0.690696202
11	0.6904431032
12	0.6902018343
13	0.6900099851
14	0.6897630156
15	0.6895207609
16	0.6893298117
17	0.6891233466
18	0.6889330832
19	0.6887235749
20	0.6885101661
21	0.6882793984
22	0.6880812913
23	0.6878874275
24	0.6876558025
25	0.6874599671
26	0.6872213128
27	0.686975372
28	0.6867675781
29	0.6865791149
30	0.6863381889
31	0.6861517403
32	0.6859013847
33	0.6856675737
34	0.685458494
35	0.6852723025
36	0.685030905
37	0.6848441135
38	0.6846084166
39	0.6844220108
40	0.6841964722
41	0.6840073661
42	0.6837697404
43	0.6835352865
44	0.6833511095
45	0.683119356
46	0.6828873024
47	0.6826634782
48	0.6824336106
49	0.6822210162
50	0.6820301527
51	0.6818299883
52	0.6815884194
53	0.6813710245
54	0.6811284269
55	0.6809457929
56	0.6807081244
57	0.6804794997
58	0.6802510465
59	0.6800381093
60	0.6798247434
61	0.6795971045
62	0.6793660367
63	0.6791759448
64	0.6789948538
65	0.6787786162
66	0.678545191
67	0.6783439551
68	0.6781126301
69	0.6778958781
70	0.67768817
71	0.677500264
72	0.6773050287
73	0.6770703605
74	0.6768694674
75	0.6766585446
76	0.6764670383
77	0.6762735174
78	0.6760511077
79	0.6758574582
80	0.6756797105
81	0.6754560149
82	0.675259708
83	0.675076474
84	0.6748622509
85	0.6746848031
86	0.6744689084
87	0.6742429412
88	0.6740339472
89	0.6738291965
90	0.6736246173
91	0.6734211954
92	0.6732075723
93	0.6729885487
94	0.6727988854
95	0.6725762614
96	0.6723770827
97	0.6721451577
98	0.6719366781
99	0.6717331276
100	0.6715445786
101	0.6713709885
102	0.6711942694
103	0.6709713454
104	0.6707988696
105	0.6706032914
106	0.6703999551
107	0.6702221645
108	0.6700491744
109	0.66983568
110	0.6696147276
111	0.6694369798
112	0.669223914
113	0.669034465
114	0.6688266711
115	0.6686106478
116	0.6684367148
117	0.6682282351
118	0.6680402006
119	0.6678435936
120	0.667670775
121	0.6674610095
122	0.6672587448
123	0.6670621379
124	0.6668531011
125	0.6666525509
126	0.6664399136
127	0.6662363631
128	0.6660182396
129	0.6658080883
130	0.6656199252
131	0.6654374198
132	0.6652519569
133	0.6650564644
134	0.6648769593
135	0.6646797952
136	0.6645063765
137	0.6642968681
138	0.6640819592
139	0.6639137268
140	0.6637060615
141	0.6634999393
142	0.6633023037
143	0.6630885521
144	0.6629006461
145	0.6626895947
146	0.6625209337
147	0.6623259555
148	0.6621375352
149	0.6619529296
150	0.661788769
151	0.6616245227
152	0.6614549615
153	0.6612452389
154	0.6610262153
155	0.660819493
156	0.6606559325
157	0.6604918576
158	0.6602729197
159	0.6601021585
160	0.6598954361
161	0.6596972005
162	0.6595072371
163	0.6592936141
164	0.6590847058
165	0.6588699684
166	0.6586934208
167	0.6585119869
168	0.6583162372
169	0.6581080147
170	0.6578948632
171	0.6577220017
172	0.6575167367
173	0.657333374
174	0.6571258802
175	0.6569435034
176	0.6567849149
177	0.6566080672
178	0.6563975302
179	0.6562050809
180	0.6559961726
181	0.6558114384
182	0.6556272185
183	0.6554430415
184	0.6552485348
185	0.6550614432
186	0.6549033261
187	0.6546912461
188	0.6544957536
189	0.6543238779
190	0.6541357148
191	0.6539341787
192	0.6537419866
193	0.6535612814
194	0.6533708465
195	0.6531915558
196	0.6529829047
